dataset,backbone,strategy,unfreeze_pct,Direction,task,n_classes,total_params,trainable_params,batch_size,learning_rate,epochs_trained,best_epoch,best_val_primary,test_loss,training_time_sec,seed,test_primary,test_auc_macro,test_acc,test_acc_hamming,test_auc,test_auc_micro
chestmnist,resnet18,partial,60,start,multilabel,14,11183694,2780430,64,0.0001,42,27,0.8098919955981986,0.15490877401200454,1797.18585896492,48,0.8099173052738308,0.8099173052738308,0.5311371639994651,0.9481280766218135,0.8099173046148466,0.8653165600531104
chestmnist,densenet121,partial,40,end,multilabel,14,6968206,5536526,64,0.0001,21,6,0.8160383158935058,0.15401010259858564,1361.5996372699738,42,0.8200845037105251,0.8200845037105251,0.5228903847011099,0.947268373760595,0.8200845041224466,0.8693779297822504
chestmnist,resnet18,partial,40,end,multilabel,14,11183694,10500622,64,0.0001,26,11,0.8036520176407203,0.15643257575581895,1117.4261729717255,47,0.802230000151528,0.802230000151528,0.5297552712521731,0.9478733498481191,0.8022300011322409,0.8601986162262745
chestmnist,resnet18,partial,20,end,multilabel,14,11183694,8400910,64,0.0001,32,17,0.7856415799254564,0.16116349825746992,1365.2628409862518,41,0.7824116761038977,0.7824116761038977,0.5321178620781883,0.9478892702714751,0.7824116756135412,0.8476866855385291
chestmnist,vit_base_patch16_224,partial,60,start,multilabel,14,85809422,56713742,64,0.0001,22,7,0.8271233061854756,0.15347721168713013,2187.8360226154327,47,0.8242077134050269,0.8242077134050269,0.5347479160165827,0.9484401169195891,0.8242077151427342,0.8696666724558813
chestmnist,vit_base_patch16_224,partial,60,start,multilabel,14,85809422,56713742,64,0.0001,22,7,0.8300948986963793,0.1546620266814517,2177.174422979355,45,0.8248060032091561,0.8248060032091561,0.5314492042972406,0.948277728601359,0.824806002471737,0.8715459073762475
chestmnist,resnet18,full,0,0,multilabel,14,11183694,11183694,64,0.0001,25,10,0.815361979759049,0.1530929881113547,1075.734323501587,49,0.815554909433823,0.815554909433823,0.5310925868140686,0.9483987238188638,0.8155549080374195,0.8679778177084305
chestmnist,vit_base_patch16_224,partial,40,start,multilabel,14,85809422,35450126,64,0.0001,23,8,0.8247587352199701,0.15304714156861318,2134.490888595581,44,0.8212058331802974,0.8212058331802974,0.5263228279766415,0.9477682750539702,0.8212058320309568,0.870279987524772
chestmnist,resnet18,partial,40,end,multilabel,14,11183694,10500622,64,0.0001,30,15,0.8015966713771705,0.15743708147792054,1287.7613303661346,43,0.8015335076373101,0.8015335076373101,0.5269914857575893,0.9476950411065331,0.8015335069783261,0.8591918736477788
chestmnist,swin_tiny_patch4_window7_224,partial,40,end,multilabel,14,27530120,19524098,64,0.0001,19,4,0.8288400087060878,0.1507762969813795,1108.6490585803986,41,0.826331093044123,0.826331093044123,0.5320732848927918,0.9482713604320167,0.82633109395017,0.874374707323042
chestmnist,resnet18,partial,40,start,multilabel,14,11183694,680718,64,0.0001,93,78,0.8075391026581692,0.15564521648350604,3914.921413898468,47,0.8062610898936221,0.8062610898936221,0.5334106004546872,0.9481790219765523,0.8062610901406849,0.8620520991162711
